year,country,skin,bladder,uterus,"colon, rectum and anus",breast,ovary,prostate,"trachea, bronchus and lung"
2011,Mexico,3.2,6.7,12.0,24.5,15.9,6.2,30.6,41.7
2011,Netherlands,13.899999999999999,25.099999999999998,2.1,95.2,35.2,11.3,39.8,197.0
2011,New Zealand,29.1,16.7,2.5,97.1,30.5,9.7,38.6,137.5
2011,Norway,20.799999999999997,23.299999999999997,2.6,98.1,23.1,12.6,55.5,143.8
2011,Peru,2.5,5.5,12.7,30.6,11.4,4.4,33.2,46.7
2011,Poland,11.1,32.7,8.0,97.3,26.1,12.3,34.5,199.2
2011,Portugal,6.6,24.0,3.9,99.2,24.6,5.7,39.4,100.6
2011,Romania,5.4,24.3,14.5,86.3,27.4,8.5,26.4,149.7
2011,Russia,8.1,21.3,7.9,97.3,28.9,9.2,28.6,137.5
2011,Slovenia,17.9,25.2,3.4,115.1,31.8,11.3,54.7,163.4
2011,South Africa,6.8,12.3,22.6,45.1,25.7,6.2,70.7,85.9
2011,Spain,5.8,33.4,2.6,95.7,23.0,7.2,30.0,141.0
2011,Sweden,14.3,20.0,2.6,76.8,24.9,10.0,53.3,105.1
2011,Switzerland,11.4,21.4,2.0,67.0,29.3,9.4,42.4,120.4
2011,Türkiye,3.1,15.3,1.9,46.6,13.3,5.4,25.3,152.0
2011,United Kingdom,10.6,24.5,2.9,74.6,32.7,11.8,40.1,167.0
2011,United States,10.3,17.8,2.7,57.8,26.4,9.4,26.2,179.2
2012,Argentina,5.4,16.7,5.9,79.1,33.8,6.9,39.5,104.30000000000001
2012,Australia,23.1,16.4,2.0,60.9,25.3,8.5,37.0,124.1
2012,Austria,11.8,19.299999999999997,3.0,71.6,28.5,9.7,32.8,126.6
2012,Belgium,7.5,25.599999999999998,2.8,75.9,34.3,9.9,29.6,169.5
2012,Brazil,4.2,11.2,7.5,42.4,20.8,4.9,36.9,69.7
2012,Bulgaria,6.1,25.2,8.8,95.60000000000001,29.8,10.0,29.3,134.1
2012,Canada,9.5,19.5,2.4,74.3,26.8,8.7,28.0,182.60000000000002
2012,Chile,3.9,12.1,8.4,59.7,20.5,5.8,53.0,78.9
2012,Colombia,4.4,7.4,10.4,41.8,17.8,5.9,36.9,62.699999999999996
2012,Costa Rica,3.7,7.1,8.9,49.8,19.8,4.6,41.7,37.1
2012,Croatia,12.4,31.1,4.1,137.9,37.9,11.1,45.2,188.1
2012,Czechia,11.899999999999999,24.3,6.0,111.19999999999999,27.4,11.5,36.6,161.3
2012,Denmark,16.0,28.9,3.2,100.5,35.2,12.2,50.6,196.3
2012,Estonia,11.5,23.9,8.8,94.9,30.2,10.3,58.0,167.7
2012,Finland,10.8,14.7,1.6,60.5,26.1,10.0,38.0,111.0
2012,France,7.699999999999999,23.2,2.2,72.7,29.4,8.7,30.2,141.5
2012,Germany,8.8,17.700000000000003,3.1,77.6,31.7,10.0,32.2,138.6
2012,Greece,5.5,27.6,2.4,58.900000000000006,28.0,6.7,27.0,163.89999999999998
2012,Hungary,11.4,32.9,7.3,156.7,33.8,11.3,32.9,264.8
2012,Iceland,11.9,25.799999999999997,2.2,45.5,28.5,12.6,38.7,165.2
2012,Ireland,12.2,20.2,4.5,89.30000000000001,35.4,14.5,40.3,160.4
2012,Israel,13.1,21.7,2.5,78.7,32.9,10.2,19.6,103.2
2012,Italy,7.9,24.2,1.1,77.2,28.8,8.0,23.8,143.1
2012,Japan,1.1,12.5,3.3,79.6,14.5,5.4,15.0,123.5
2012,Korea,1.7999999999999998,13.9,3.9,74.19999999999999,8.0,3.9,14.7,154.2
2012,Latvia,11.4,35.2,9.9,109.9,28.8,12.6,60.5,153.4
2012,Lithuania,9.8,26.099999999999998,10.7,90.0,27.7,12.5,56.2,145.10000000000002
2012,Luxembourg,7.1,32.6,2.1,74.1,28.5,14.3,24.2,151.7
2012,Mexico,3.0,6.3,11.2,25.7,16.4,5.9,30.5,38.7
2012,Netherlands,14.0,24.299999999999997,2.3,97.4,33.9,11.1,39.9,187.9
2012,New Zealand,28.1,17.3,2.6,101.30000000000001,28.9,8.3,38.2,128.6
2012,Norway,19.8,20.599999999999998,2.6,100.8,23.7,12.4,52.3,140.6
2012,Peru,2.2,6.2,12.3,31.9,11.1,4.3,35.0,44.2
2012,Poland,11.2,31.5,8.0,100.0,26.3,11.5,34.8,198.7
2012,Portugal,6.7,25.5,3.3,97.7,25.9,5.7,38.8,98.3
2012,Romania,6.1,22.8,14.5,89.0,27.2,8.5,27.2,150.6
2012,Russia,8.1,19.9,7.8,98.1,28.1,9.5,29.0,133.5
2012,Slovak Republic,11.6,28.699999999999996,8.2,141.79999999999998,31.8,11.3,46.0,152.3
2012,Slovenia,17.6,29.4,3.5,110.39999999999999,30.3,10.1,53.5,159.9
2012,South Africa,6.2,14.0,22.6,43.1,25.3,5.5,62.8,88.69999999999999
2012,Spain,5.6,33.2,2.5,94.4,22.2,6.9,29.0,139.5
2012,Sweden,15.4,19.4,2.2,75.4,25.3,10.1,52.7,102.1
2012,Switzerland,12.7,19.799999999999997,1.9,62.2,28.7,8.4,38.3,114.4
2012,Türkiye,2.7,15.0,1.6,46.0,11.9,5.0,23.6,154.8
2012,United Kingdom,10.1,24.9,2.7,76.2,32.2,11.6,39.9,164.89999999999998
2012,United States,10.2,18.0,2.6,56.5,26.1,9.3,25.0,174.8
2013,Argentina,5.4,16.400000000000002,6.1,78.8,34.1,7.5,38.6,102.6
2013,Australia,23.9,15.700000000000001,2.0,61.8,25.2,8.4,36.1,121.5
2013,Austria,11.7,16.4,2.9,71.7,28.9,8.9,32.7,125.4
2013,Belgium,9.7,22.4,2.8,71.4,33.8,9.0,29.8,170.0
2013,Brazil,4.2,12.0,7.5,43.1,21.0,5.1,36.6,70.1
2013,Bulgaria,7.5,22.2,8.1,96.6,27.3,9.4,30.5,135.1
2013,Canada,9.6,20.1,2.2,75.8,26.4,9.3,29.4,176.79999999999998
2013,Chile,3.7,12.6,8.0,59.900000000000006,20.1,6.0,50.7,81.8
2013,Colombia,4.4,8.1,10.1,41.6,18.3,6.0,37.6,63.0
2013,Costa Rica,5.2,11.7,8.0,55.5,22.4,4.3,42.8,35.3
2013,Croatia,12.5,29.199999999999996,4.9,138.0,36.3,12.1,45.6,185.60000000000002
2013,Czechia,10.7,24.8,6.2,105.2,27.4,11.7,37.9,153.1
2013,Denmark,15.399999999999999,27.3,3.6,94.80000000000001,33.5,11.4,52.3,188.9
2013,Estonia,11.799999999999999,29.2,7.4,101.1,24.0,8.9,56.8,155.3
2013,Finland,11.9,14.0,1.6,59.6,25.3,8.7,36.4,111.69999999999999
2013,France,7.6,21.5,2.1,70.6,29.0,8.4,29.4,137.8
2013,Germany,9.5,18.5,3.0,77.7,31.9,9.7,34.1,140.8
2013,Greece,5.5,28.3,2.1,56.9,28.1,7.0,26.7,169.8
2013,Hungary,10.5,29.9,7.0,155.6,34.4,11.9,35.0,252.5
2013,Iceland,3.2,28.200000000000003,3.2,65.8,35.4,4.9,54.0,149.0
2013,Ireland,15.399999999999999,19.9,3.7,90.9,35.4,13.6,37.3,158.7
2013,Israel,12.0,21.2,2.6,77.1,34.1,9.1,16.9,105.1
2013,Italy,8.0,23.0,1.1,73.2,28.0,8.0,22.7,139.5
2013,Japan,1.0,12.6,3.2,78.5,15.2,5.3,15.0,122.4
2013,Korea,1.9,13.9,3.7,70.5,8.6,4.3,15.5,150.6
2013,Latvia,11.7,35.599999999999994,10.1,95.2,30.6,13.3,54.9,153.3
2013,Lithuania,9.0,22.2,9.7,91.9,27.9,12.4,49.9,139.4
2013,Luxembourg,10.4,19.5,3.4,82.8,32.4,9.6,23.0,127.3
2013,Mexico,2.9000000000000004,5.9,10.7,26.5,15.5,5.9,29.4,38.0
2013,Netherlands,14.3,22.5,2.4,87.8,33.0,10.6,38.2,183.0
2013,New Zealand,28.099999999999998,15.1,2.5,98.7,29.0,8.3,41.0,128.8
2013,Norway,20.2,22.3,2.8,93.9,23.1,10.7,50.0,136.0
2013,Peru,3.0,6.6000000000000005,10.4,28.799999999999997,11.8,4.1,32.7,41.0
2013,Poland,11.7,32.8,7.8,98.1,27.0,12.1,34.5,194.8
2013,Portugal,6.1,24.200000000000003,3.1,96.8,23.8,5.5,35.5,106.19999999999999
2013,Romania,5.8,24.2,15.0,88.3,28.0,9.0,28.4,151.0
2013,Russia,8.1,19.7,8.0,97.4,27.8,9.3,29.1,131.7
2013,Slovak Republic,15.600000000000001,28.9,8.4,149.1,34.7,9.7,41.8,149.5
2013,Slovenia,17.2,28.2,3.3,111.1,31.1,11.5,48.6,150.4
2013,South Africa,6.199999999999999,11.899999999999999,22.0,41.6,24.7,5.5,65.4,85.0
2013,Spain,5.9,31.799999999999997,2.4,91.9,22.5,6.8,26.9,137.9
2013,Sweden,15.0,19.5,3.0,76.2,25.4,9.3,50.9,101.6
2013,Switzerland,10.6,20.5,1.5,58.4,27.3,8.5,39.6,114.1
2013,Türkiye,3.7,17.9,2.1,49.8,14.1,5.8,27.5,164.6
2013,United Kingdom,10.7,24.3,2.6,73.7,31.3,11.3,39.1,162.4
2013,United States,10.3,18.3,2.7,55.9,25.9,9.2,24.6,170.8
2014,Argentina,5.6000000000000005,17.0,6.2,80.1,33.4,6.7,37.4,102.0
2014,Australia,21.2,15.6,1.9,59.1,24.2,8.5,34.9,118.9
2014,Austria,9.9,17.8,3.0,69.3,28.2,9.4,30.4,129.0
2014,Belgium,8.7,23.0,2.4,67.4,32.3,8.7,28.5,168.2
2014,Brazil,4.3,12.0,7.3,44.6,21.0,4.9,36.3,70.3
2014,Bulgaria,7.3999999999999995,23.5,8.2,95.1,29.1,8.9,29.5,128.9
2014,Canada,9.8,21.1,2.3,77.0,27.7,9.5,29.7,181.0
2014,Chile,4.9,15.7,7.4,63.3,20.0,5.5,49.3,79.8
2014,Colombia,4.7,7.8,10.8,43.7,18.9,6.3,39.6,64.7
2014,Costa Rica,5.0,11.8,7.4,54.8,21.1,5.4,41.5,33.9
